
% Title: ARFF file for Titles
%arff file of 2008 titles, contains only the article name and the date of the article
%Created by Rachel Warren
 
@RELATION Titles
 
 %attribute declarations
@ATTRIBUTE title STRING
@ATTRIBUTE date DATE "yyyy-MM-dd"
@ATTRIBUTE was_coded NUMERIC
@data
'ad calls mccain\'s campaign \'dishonorable\'; obama on offensive to regain traction', "2008-09-16", 1
'abortion issue again dividing catholic votes', "2008-09-17", 0
'\"as long-term answer, some seek agency to buy bad debt\"', "2008-09-17", 0
'\"candidates\' comments center on economics; obama, mccain try to reassure voters on finances\"', "2008-09-17", 1
'pigskin weather gives nbc the ratings edge', "2008-09-17", 0
'mccain able to skirt limits of federal financing', "2008-09-17", 0
'the ugly new mccain', "2008-09-17", 0
'obama\'s panic', "2008-09-17", 1
'gop rally reaches out to minorities', "2008-09-17", 0
'mccain embraces regulation after many years of opposition', "2008-09-17", 1
'the mccain of the week', "2008-09-18", 1
'saturating the swing states', "2008-09-18", 0
'\"mccain, on the economy\"', "2008-09-18", 1
'economic upheaval shakes campaign debate; bleak outlook shunts other issues aside', "2008-09-18", 0
'\"recent obama ads more negative than rival\'s, study says; democrat said to be facing pressure to \'show some spine\'\"', "2008-09-18", 0
'\"inside the times: september 19th, 2008\"', "2008-09-18", 0
'obama attacks mccain in a bid to attract hispanic voters', "2008-09-19", 1
'immigration deception', "2008-09-19", 1
'\"fixing the economy; how would barack obama or john mccain really respond to the nation\'s financial turmoil? for a clue, check out their economic advisers.; finance, business vets help guide contenders\"', "2008-09-19", 0
'as michigan goes . . .;', "2008-09-19", 0
'\"obama, mccain trade shots over responses to financial meltdown\"', "2008-09-19", 1
'trying to get christian music fans to tune to the left', "2008-09-19", 0
'always for less regulation\'?; john mccain\'s record on wall street oversight gets some misleading spin from barack obama.', "2008-09-19", 0
'gop sees rebound in battle for congress; party hopes momentum will help limit losses', "2008-09-19", 0
'\"as fingers point in the financial crisis, many of them are aimed at bush\"', "2008-09-20", 0
'mccain tries to link obama to financial crisis', "2008-09-20", 1
'mccain\'s camp tests fund-raising limits', "2008-09-20", 0
'judging a man by the company he keeps', "2008-09-20", 0
'the push to \'otherize\' obama', "2008-09-21", 0
'truthiness stages a comeback', "2008-09-21", 0
'obama hopes to reverse party fortunes in vote-rich fla.', "2008-09-21", 0
'\"at ole miss, a valedictory to the old south\"', "2008-09-21", 0
'\"barack obama, john mccain and the language of race\"', "2008-09-22", 1
'loan titans paid mccain adviser nearly $2 million', "2008-09-22", 1
'mccain and obama urge greater oversight in a financial bailout plan', "2008-09-22", 1
'candidates slug through wall street mess', "2008-09-22", 0
'\"democrats have sights on va. as battleground; voting patterns have shifted, but southern region is solidly gop\"', "2008-09-22", 0
'ad men', "2008-09-22", 0
'closing the whopper gap', "2008-09-22", 1
'\"as the battle rages, it\'s time to check the pulse of swing states\"', "2008-09-22", 0
'\"virginians giving at record pace to obama, mccain\"', "2008-09-22", 0
'banking deregulation and mccain\'s health plan', "2008-09-23", 0
'\"obama\'s chicago, in mccain\'s eyes\"', "2008-09-23", 1
'fact checkers find rivals\' ads low on truth', "2008-09-23", 1
'mccain leads obama in race to distort each other\'s records', "2008-09-23", 1
'\"a new landscape, the same proposals\"', "2008-09-23", 1
'hitting hard on debatable pointshitting hard on debatable points', "2008-09-23", 1
'\"his kind of town; scranton loves biden, but can it warm to obama?\"', "2008-09-23", 0
'mccain loses his head', "2008-09-23", 0
'mccain aide\'s firm was paid by freddie mac', "2008-09-24", 1
'pinpoint attacks focus on obama', "2008-09-24", 0
'pinpoint attacks focus on obama', "2008-09-24", 0
'pinpoint attacks focus on obama', "2008-09-24", 0
'mccain and social security', "2008-09-24", 1
'talked-about ads were seldom aired; campaigns capitalize on controversy', "2008-09-24", 0
'the words left unspoken in the bailout debate', "2008-09-24", 0
'mccain aide\'s firm was paid recently; davis said work for freddie had ceased', "2008-09-24", 0
'bring on the rubber chicken', "2008-09-25", 0
'lobbyists in \'feeding frenzy\'; financial groups flexing muscles for provisions of $700 billion bailout', "2008-09-25", 0
'\"debates aren\'t do or die; subtleties, rather than gaffes, often determine the winner of these duels\"', "2008-09-25", 0
'election could ride on voter comfort level with nominee', "2008-09-25", 0
'\"at debates, less is more\"', "2008-09-25", 0
'\"to craft a rescue, go back to andrews; a past budget summit\'s bipartisan model\"', "2008-09-25", 0
'credit enters a lockdown', "2008-09-26", 0
'thinking about mccain', "2008-09-26", 0
'dubious claims in obama\'s ads', "2008-09-26", 1
'tonight\'s debate still in limbo as blame passes back and forth', "2008-09-26", 0
'drama king to the rescue', "2008-09-26", 0
'\"i\'m your pastor, and i approved this ad\"', "2008-09-27", 0
'the election and the language of race', "2008-09-27", 0
'mccain\'s high horse meets obama\'s high-mindedness', "2008-09-27", 0
'mccain\'s suspension bridge to nowhere', "2008-09-28", 0
'too good to be true? it usually is.; snopes.com sniffs out what you can believe', "2008-09-28", 0
'mccain ready for a change of subject; credit crisis has given obama a distinct edge', "2008-09-28", 0
'biden and palin prepare to tangle', "2008-09-29", 0
'rivals in ala. race both claim conservative tag; dems hope to wrest away house seat long held by republicans', "2008-09-29", 0
'mccain\'s lost chance; obama holds his own on foreign policy', "2008-09-29", 0
'\'substantive\' press is taken for a spin', "2008-09-29", 0
'debate viewership slips', "2008-09-30", 0
'it\'s an \'extremely worrisome situation\'; concerns multiply about deeper crisis', "2008-09-30", 0
'\"politics, fear spell doom for bailout; bush, house leaders can\'t stop backlash\"', "2008-09-30", 0
'\"house rejects financial rescue, sending stocks plummeting\"', "2008-09-30", 0
'democrats see the pros and cons of letting biden be biden', "2008-09-30", 0
'\"though an experienced debater, biden is often tripped up by spontaneity\"', "2008-10-01", 0
'building better bodies', "2008-10-01", 0
'keeping contributions safe', "2008-10-01", 0
'candidates \'approve\' ads and get a bit creative', "2008-10-01", 0
'...while obama discusses his tax plans', "2008-10-01", 1
'g.o.p. commercial focuses on the bailout...', "2008-10-01", 1
'people share blame for bailout', "2008-10-01", 0
'\"mccain, obama offer ideas for rescue package; both want raise in federal deposit insurance limit\"', "2008-10-01", 1
'nov. 4 isn\'t the only election day; campaigns adjust as early voting rises', "2008-10-01", 0
'\"candidates follow up on plan; both men talk to president, as well as members of their parties in congress\"', "2008-10-01", 1
'\"shooting from the hip, with a smile to boot\"', "2008-10-01", 0
'a two-pronged push to aid ailing banks', "2008-10-01", 0
'independent groups fire barrages through ads; veterans blast obama; nurses go after palin', "2008-10-02", 1
'\"for marylanders, a drafthouse to call their own\"', "2008-10-02", 0
'\"obama, mccain stand united in pressing hard for rescue\"', "2008-10-02", 1
'blogging the way to election day', "2008-10-02", 0
'mccain abandons his efforts to win michigan', "2008-10-03", 0
'\"mccain camp pulls out of vote-rich michigan; ceding state an \'obvious\' choice, adviser says\"', "2008-10-03", 0
'the trail', "2008-10-03", 0
'obama spot is heavy on supposition', "2008-10-03", 1
'anxiety on economy wins out', "2008-10-04", 0
'obama and \'60s bomber: a look into crossed paths', "2008-10-04", 0
'financial papers show palins\' assets top $1 million', "2008-10-04", 0
'mccain plans fiercer strategy against obama', "2008-10-04", 1
'\"inside the times: october 5, 2008\"', "2008-10-05", 0
'pitbull palin mauls mccain', "2008-10-05", 0
'palin talk: 10-5-08', "2008-10-05", 0
'capitalism to the rescue', "2008-10-05", 0
'the counterinsurgent', "2008-10-05", 0
'swedish spoken here', "2008-10-05", 0
'\"politics at the five-and-dime; where pennies matter, change is a powerful idea\"', "2008-10-05", 0
'\"obama, mccain saturating va. with tv ads\"', "2008-10-05", 0
'seeking to shift attention to judicial nominees', "2008-10-06", 0
'obama\'s tie to \'60s radical fuels attacks; palin remarks revive controversy as polls show gains for dem', "2008-10-06", 0
'candidates prepare for tuesday\'s town hall debate; format is seen as mccain forte', "2008-10-06", 0
'blaming deregulation;', "2008-10-06", 0
'obama attack gets asterisk on accuracy', "2008-10-06", 0
'\"asked, millions reply\"', "2008-10-07", 0
'\"inside the times: october 7, 2008\"', "2008-10-07", 0
'\"dangerous territory; as the campaigns plunge into the mud, how should voters evaluate their claims?\"', "2008-10-07", 1
'mccain spot distorts obama comment about military', "2008-10-07", 1
'\"inside the times: october 8, 2008\"', "2008-10-08", 0
'mud pies for \'that one\'', "2008-10-08", 1
'politics of attack', "2008-10-08", 0
'obama flexing financial muscle with tv spending', "2008-10-08", 0
'both candidates misleading tv viewers with attacks', "2008-10-08", 1
'\"inside the times: october 9, 2008\"', "2008-10-09", 0
'g.o.p. facing tougher battle for congress', "2008-10-09", 0
'u.s. may take ownership stake in banks to ease credit crisis', "2008-10-09", 0
'candidates continue debate on relief for mortgage holders', "2008-10-09", 1
'\"need a tech-savvy president?; as a practical matter, no. but as a political matter ...\"', "2008-10-09", 1
'10 steps through virginia to the white house', "2008-10-09", 0
'moveon grows up; what started online in \'98 has transformed liberal politicking', "2008-10-09", 0
'obama attacks mccain\'s mortgage plan', "2008-10-10", 1
'lawmakers weigh plan for stimulus', "2008-10-10", 0
'\"obama, purse swelling, plans half-hour tv ad\"', "2008-10-10", 0
'\"obama ready for prime time in long ads; nominee plans 30-minute spots on cbs, nbc and fox\"', "2008-10-10", 0
'candidates spar over mccain plan for loans; proposal introduced in second debate', "2008-10-10", 0
'obama & friends: judge not?', "2008-10-10", 0
'obama hits mccain on mortgages', "2008-10-10", 1
'the trail', "2008-10-10", 1
'\"inside the times: october 11, 2008\"', "2008-10-11", 0
'mccain draws line on attacks as crowds cry \'fight back\'', "2008-10-11", 1
'attacking obama\'s associations', "2008-10-11", 1
'couric rebounds with web and palin', "2008-10-11", 0
'will mccain do anything to win?', "2008-10-11", 0
'mccain mum on former pastor; some in gop frustrated at omission in attacks on obama', "2008-10-11", 0
'\"mccain moves to soften the tone at rallies, if not in ads\"', "2008-10-11", 1
'obama buys a half-hour block from networks; \'snl\'s\' fauxbama draws 11 million viewers', "2008-10-11", 0
'are we rome? tu betchus!', "2008-10-12", 0
'\"in tight house race, bush record is battleground\"', "2008-10-12", 0
'mccain campaign sustains the focus on obama\'s links to a 1960s radical', "2008-10-12", 1
'the terrorist barack hussein obama', "2008-10-12", 0
'those negative ads are a positive thing', "2008-10-12", 0
'\"candidate banners can leave clients, businesses bruised\"', "2008-10-12", 0
'\"writing memoir, mccain found a narrative for life\"', "2008-10-13", 0
'\"on the bus, but with no reason to go?\"', "2008-10-13", 0
'clintons join biden to campaign for obama in scranton; democratic all-stars take nominee\'s case to blue-collar area that spawned his running mate but voted for his primary foe', "2008-10-13", 0
'\"down, down, down east for the gop?\"', "2008-10-13", 0
'stuck in the muck; mudslinging isn\'t new. here\'s the messy truth.', "2008-10-13", 0
'what mccain hasn\'t tried', "2008-10-13", 0
'the world vote; barack obama is almost universally favored over john mccain outside the united states. should that matter to americans?', "2008-10-13", 0
'\"both sides of the aisle see more regulation, and not just of banks\"', "2008-10-14", 0
'big government ahead', "2008-10-14", 0
'obama adds $60 billion to economic plan; mccain expected to unveil proposals today', "2008-10-14", 0
'time to be outward bound;', "2008-10-14", 0
'mccain attack ads called inevitable -- and ineffective', "2008-10-14", 1
'\"gop officials assail community group; mccain campaign accuses acorn of voter fraud, highlights ties to obama\"', "2008-10-14", 0
'an oregon republican reaches for coattails -- obama\'s', "2008-10-15", 0
'the trail', "2008-10-15", 1
'\"with huge money advantage, obama ramps up ads\"', "2008-10-15", 0
'g.o.p. boos obama for ad buy', "2008-10-16", 0
'\"final fact check: claims re-examined; rivals\' third round covers tax cuts, iraq\"', "2008-10-16", 0
'\"economy again is front and center; candidates spar over rescue plans, ad tactics\"', "2008-10-16", 0
'latinos \'08\': a split ticket; pbs documentary questions assumptions about voters', "2008-10-16", 0
'both campaigns distorting facts on money matters', "2008-10-16", 1
'candidates make a name for this guy joe', "2008-10-16", 0
'\"at height of election season, a full haul of blog items\"', "2008-10-16", 0
'\"obama turns to state\'s leading democrats; campaign wants kaine, warner, webb to appear in ads to capitalize on popularity\"', "2008-10-16", 0
'aggressive underdog vs. cool counterpuncher', "2008-10-16", 0
'\"in targeting online ads, campaigns ask: who\'s searching for what?\"', "2008-10-16", 0
'joe again? say it ain\'t so.', "2008-10-16", 0
'on nytimes.com', "2008-10-17", 0
'spare times: for children', "2008-10-17", 0
'\"debates over, candidates begin final sprint\"', "2008-10-17", 1
'rivals\' visions differ on unleashing innovation', "2008-10-17", 0
'polls cause campaigns to change their itineraries', "2008-10-17", 1
'joe the plumber\' caught in post-debate glare; obama tax plan would likely help ohioan', "2008-10-17", 0
'\"last debate is not a winner, in the ratings\"', "2008-10-17", 0
'\"as mccain\'s road gets steeper, obama warns of overconfidence\"', "2008-10-17", 0
'where prescription drugs and doctor\'s appointments don\'t mix;', "2008-10-17", 0
'who\'s playing the race card?', "2008-10-17", 0
'we tried not to cross the line of truth\'; \'we tried not to cross the line of truth\'', "2008-10-17", 0
'\"after debate, glare of media hits joe; plumbers union, tax collectors notice\"', "2008-10-17", 0
'two answers to the question \'more of the same?\'', "2008-10-17", 1
'campaigns tangle over health care', "2008-10-18", 1
'is anybody happy?', "2008-10-18", 0
'last-minute mischief', "2008-10-18", 0
'\"nearing record, obama ad effort swamps mccain\"', "2008-10-18", 0
'questions linger about mccain\'s prognosis after skin cancer', "2008-10-18", 0
'\"bush defends rescue plan; government cash infusion was a \'last resort,\' he says\"', "2008-10-18", 0
'joe the marketer responds to a category 5 hurricane', "2008-10-19", 1
'\"will gun-totting, churchgoing white guys pull the lever for obama?\"', "2008-10-19", 0
'proof pudding', "2008-10-19", 0
'a hale chief? better check up on that.', "2008-10-19", 0
'economic downturn sidelines donors to \'527\' groups', "2008-10-19", 1
'\"as fuel prices fall, will push for alternatives lose steam?\"', "2008-10-20", 0
'the democrats\' daunting digits', "2008-10-20", 0
'\"obama endorsed by colin powell; democrat wins praise from prominent republican, announces record $150 million fundraising month\"', "2008-10-20", 0
'obama\'s september haul provides huge advertising edge; amount more than doubles old record', "2008-10-20", 0
'u.s. is said to be urging new mergers in banking', "2008-10-21", 0
'joe the marketer responds to a category 5 hurricane', "2008-10-21", 0
'copyright and politics don\'t mix', "2008-10-21", 0
'mccain camp vows to beat funding mismatch', "2008-10-21", 0
'mccain emphasizes distance from bush; criticism of administration stepped up', "2008-10-21", 1
'\"inside the times, october 22, 2008\"', "2008-10-22", 0
'\"after a year on the road, obama is changing his tempo\"', "2008-10-22", 0
'\"democrats or republicans, latinas are swaying the vote\"', "2008-10-22", 0
'obama\'s iffy numbers on mccain health plan', "2008-10-22", 1
'the \'socialist\' scare', "2008-10-22", 0
'\"spending $5.3b on political races looks scary, but it could be worse; the likely tally for halloween: $6b\"', "2008-10-23", 0
'\"how to look like 150,000 bucks; palin\'s spree turns heads left and right\"', "2008-10-23", 0
'n.m. teams realize every vote counts; state sees flurry of volunteers working to mobilize supporters', "2008-10-23", 0
'\"jock the vote: nba players raise their voices; defying political convention, some star athletes choose sides in presidential race\"', "2008-10-23", 0
'\"in ads, gop stresses obama\'s ties to chicago developer; but nominee\'s relationship with rezko appears to be having little impact on voters, polls find\"', "2008-10-23", 1
'polls show obama gaining among bush voters', "2008-10-24", 0
'\"independent groups spend millions bypassing tv, radio; some say phone calls, canvassing, mail more effective\"', "2008-10-24", 0
'mccain\'s pitch to average joes focuses on taxes', "2008-10-24", 0
'\"ideology aside, this has been the year of the woman\"', "2008-10-24", 0
'\"as an issue, taxes favor obama; polls lean toward democrat on a traditional gop strength\"', "2008-10-24", 1
'mccain for president', "2008-10-24", 0
'comedian becomes serious contender; democrat franken leads senate race in minn.', "2008-10-25", 0
'mccain blasts rival on stump in colorado; obama is ahead in polls in gop state', "2008-10-25", 0
'obama has burst in ad spending in early october', "2008-10-25", 0
'the invisible renter', "2008-10-26", 0
'the making (and remaking and remaking) of the candidate', "2008-10-26", 1
'no ordinary woman', "2008-10-26", 0
'death knell tolls for more businesses', "2008-10-26", 0
'\"mailed ads have become mostly negative, experts say\"', "2008-10-26", 0
'obama\'s huge haul should end this fight', "2008-10-26", 0
'a new england brawl', "2008-10-26", 0
'the day', "2008-10-27", 0
'\"democrats in steel country see skin color, and beyond it\"', "2008-10-27", 0
'campaign gravy train at an end', "2008-10-27", 0
'voter \'anger\' has dems set for big gains in congress; gop incumbents at risk as electoral ground shifts', "2008-10-27", 0
'deep divide splits washington state; voters happy to hop parties as they move down ballot', "2008-10-27", 0
'voters blasted by variety of radio ads; presidential contest floods airwaves', "2008-10-27", 0
'\"for gop, some good news at last -- on the gubernatorial front\"', "2008-10-27", 0
'putting faith in obama', "2008-10-28", 0
'\"new to campaigning, but no longer a novice\"', "2008-10-28", 0
'\"mccain, que paso?; the gop nominee is paying for his party\'s sins -- specifically the mishandling of immigration reform. democrats, though also guilty, have escaped blame.\"', "2008-10-28", 1
'obama ads overwhelm tv presence of mccain; his 3 half-hour spots among $230m of buys', "2008-10-28", 0
'gop senator banks on obama in oregon race; ads using illinois democrat play to tradition of centrism', "2008-10-28", 0
'the trail', "2008-10-28", 1
'abc jumps too late on obama\'s \'buy\'', "2008-10-28", 0
'closing arguments', "2008-10-29", 0
'appeals courts pushed to right by bush choices', "2008-10-29", 0
'\"with time running short, campaigns engage in a noisy air wa\"', "2008-10-29", 1
'\"with time running short, campaigns engage in a noisy air war\"', "2008-10-29", 1
'\"obama infomercial, a closing argument to the everyman\"', "2008-10-29", 0
'\"a campaign of living history; the 2008 presidential contest will go down as one of the most interesting, and most important, races of at least the past half-century. why? major crises, compelling debates and strong -- indeed, historic -- candidates.\"', "2008-10-29", 0
'californians go to \'war\' over proposed gay-marriage ban', "2008-10-29", 0
'accuracy of polls a question in itself; skeptics challenge assumptions made', "2008-10-29", 0
'obama\'s ad \'roadblock\' gets traction', "2008-10-29", 0
'how they would change health care; mccain\'s proposal for high-risk coverage is similar to a program in minnesota', "2008-10-29", 0
'the reliable source', "2008-10-29", 1
'the relliable source', "2008-10-29", 1
'the day', "2008-10-30", 0
'the last week quiz', "2008-10-30", 0
'\"following the script: obama, mccain and \'the west wing\'\"', "2008-10-30", 0
'\"an infomercial, big, glossy and almost unavoidable\"', "2008-10-30", 0
'now playing', "2008-10-30", 1
'\"at rallies of faithful, contrasts in red and blue\"', "2008-10-30", 0
'mccain works to gain florida; polls have him trailing obama by single digits', "2008-10-30", 0
'obama blankets tv with ad; times clinton appearance for 11 p.m. news', "2008-10-30", 0
'obama blankets tv with ad; times clinton appearance for 11 p.m. news', "2008-10-30", 0
'\"in ohio, wary eyes on election process; fears of fraud and blocked votes\"', "2008-10-30", 0
'spanish political ads\' multiple translations; outreach can send a mixed message', "2008-10-30", 1
'\"obama airs 30-minute spot, releases anti-palin ad\"', "2008-10-30", 1
'obamavision: an appeal to the masses', "2008-10-30", 0
'both camps underscore choices', "2008-10-30", 1
'he\'s everywhere: obama wraps small-screen barrage with \'daily show\' appearance', "2008-10-30", 0
'\"hitting the backroads, and having less to say\"', "2008-10-31", 0
'\"for incomes below $100,000, a better tax break in obama\'s plan\"', "2008-10-31", 0
'\"with ambitious campaign, obama is both big spender and penny pincher\"', "2008-10-31", 0
'gop takes new approach in ads for senate contests; ads seem to suggest that democrats will win many seats', "2008-10-31", 0
'montana sharply split over candidates\' energy policies', "2008-10-31", 0
'kansas congresswoman isn\'t capitalizing on her (d)', "2008-10-31", 0
'\"in tightfisted turn, economy contracts; drop in spending is drag on growth\"', "2008-10-31", 0
'referendum on trickle-down', "2008-10-31", 0
'the debates: no drama but a dramatic effect', "2008-10-31", 0
'\"in final stretch, mccain to pour money into tv ads\"', "2008-10-31", 0
'an \'idiot wind\'; john mccain\'s latest attempt to link barack obama to extremism', "2008-10-31", 0
'\"god, country and mccain; at liberty university, republican students campaign hard, fearing a new era of liberal activism if obama prevails\"', "2008-10-31", 0
'\"gubernatorial race in wash. state elicits that deja vu feeling; in rematch, rivals again tied in polls\"', "2008-11-01", 0
'gop slide in mich. hews to economy; democrats say they expect to gain', "2008-11-01", 0
'true believers in mccain flock to pa.', "2008-11-01", 0
'battling on the other side\'s turf; obama presence in rural va. symbolizes effort to compete across the map', "2008-11-01", 0
'names & faces', "2008-11-01", 0
'vote for ( )', "2008-11-02", 0
'\"in florida, organizing and fighting for every last vote\"', "2008-11-02", 0
'tuesday night\'s party lines', "2008-11-02", 0
'black turnout may hold key', "2008-11-02", 0
'first real race in a generation', "2008-11-02", 0
'disclosure about obama\'s aunt may have broken federal law', "2008-11-02", 0
'colorado (9 electoral votes)', "2008-11-02", 0
'discord on economies in a world of trouble; conflicts emerge as nations seek solutions', "2008-11-02", 0
'don\'t blame the bradley effect', "2008-11-02", 0
'opposite sides of the fence but equal lawn time', "2008-11-02", 0
'will she ever get there?', "2008-11-02", 0
'arizona (10 electoral votes)', "2008-11-02", 0
'the post-racial election', "2008-11-02", 0
'campaigns focus on states their parties lost in 2004', "2008-11-03", 0
'\"inside the times, november 3, 2008\"', "2008-11-03", 0
'\"the soiled envelope, please\"', "2008-11-03", 0
'unauthorized ad reminds voters about a certain pastor', "2008-11-03", 1
'fox studio hosts brake for truck ad', "2008-11-03", 0
'lobbyists go for congressional seats; candidates say experiences will work in lawmaking', "2008-11-03", 0
'candidates seek impact up to the end; obama pursues votes of the working class', "2008-11-03", 0
'the trail', "2008-11-03", 0
'\"a positively negative home stretch; mccain, obama break tradition by staying on the attack\"', "2008-11-03", 1
'it\'s well past 3 a.m. do you remember the election\'s best ads?', "2008-11-03", 1
'mccain for president', "2008-11-04", 1
'\"minute by minute, a final hectic day on the campaign trail\"', "2008-11-04", 0
'obama and mccain have breakout game', "2008-11-04", 0
'beyond election day', "2008-11-04", 0
'obama pays tribute to his grandmother after she dies', "2008-11-04", 0
'the \'08 campaign: sea change for politics as we know it', "2008-11-04", 0
'nominees pack in visits to g.o.p.-leaning states as campaign closes', "2008-11-04", 0
'senator mourns loss of his grandmother', "2008-11-04", 0
'congressional republicans work to thwart democratic gains', "2008-11-04", 0
